timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,hdr_ip_len,hdr_tcp_len,ack_flag,init_window
2025-05-15 13:12:42.029207,17.248.195.74,443,192.168.10.201,57131,6,66,20,32,1,32256
2025-05-15 13:12:42.072648,17.248.195.74,443,192.168.10.201,57131,6,1318,20,32,1,32256
2025-05-15 13:12:42.080488,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,129792
2025-05-15 13:12:42.083369,192.168.10.201,57131,17.248.195.74,443,6,97,20,32,1,131072
2025-05-15 13:12:42.083654,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.090727,192.168.10.201,57132,17.248.195.74,443,6,78,20,44,0,65535
2025-05-15 13:12:42.129639,17.248.195.74,443,192.168.10.201,57131,6,66,20,32,1,32256
2025-05-15 13:12:42.129639,17.248.195.74,443,192.168.10.201,57131,6,66,20,32,1,32256
2025-05-15 13:12:42.130305,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.136376,17.248.195.74,443,192.168.10.201,57132,6,74,20,40,1,31856
2025-05-15 13:12:42.136700,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,131712
2025-05-15 13:12:42.136702,192.168.10.201,57132,17.248.195.74,443,6,583,20,32,1,131712
2025-05-15 13:12:42.179634,17.248.195.74,443,192.168.10.201,57132,6,66,20,32,1,32256
2025-05-15 13:12:42.181526,17.248.195.74,443,192.168.10.201,57132,6,1514,20,32,1,32256
2025-05-15 13:12:42.181527,17.248.195.74,443,192.168.10.201,57132,6,1514,20,32,1,32256
2025-05-15 13:12:42.181527,17.248.195.74,443,192.168.10.201,57132,6,922,20,32,1,32256
2025-05-15 13:12:42.182029,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.192395,192.168.10.201,57132,17.248.195.74,443,6,159,20,32,1,131072
2025-05-15 13:12:42.239113,17.248.195.74,443,192.168.10.201,57132,6,117,20,32,1,32256
2025-05-15 13:12:42.239677,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,131008
2025-05-15 13:12:42.240075,192.168.10.201,57132,17.248.195.74,443,6,1367,20,32,1,131072
2025-05-15 13:12:42.240305,192.168.10.201,57132,17.248.195.74,443,6,477,20,32,1,131072
2025-05-15 13:12:42.284906,17.248.195.74,443,192.168.10.201,57132,6,66,20,32,1,32256
2025-05-15 13:12:42.587815,192.168.10.201,51101,142.250.113.188,5228,6,54,20,20,1,2048
2025-05-15 13:12:42.597041,17.248.195.74,443,192.168.10.201,57132,6,1514,20,32,1,32256
2025-05-15 13:12:42.597042,17.248.195.74,443,192.168.10.201,57132,6,580,20,32,1,32256
2025-05-15 13:12:42.597267,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,129088
2025-05-15 13:12:42.601042,192.168.10.201,57132,17.248.195.74,443,6,97,20,32,1,131072
2025-05-15 13:12:42.601324,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.601572,142.250.113.188,5228,192.168.10.201,51101,6,66,20,32,1,1043
2025-05-15 13:12:42.639787,192.168.10.201,57133,17.248.195.74,443,6,78,20,44,0,65535
2025-05-15 13:12:42.643971,17.248.195.74,443,192.168.10.201,57132,6,66,20,32,1,32256
2025-05-15 13:12:42.643972,17.248.195.74,443,192.168.10.201,57132,6,66,20,32,1,32256
2025-05-15 13:12:42.644091,192.168.10.201,57132,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.683768,17.248.195.74,443,192.168.10.201,57133,6,74,20,40,1,31856
2025-05-15 13:12:42.684190,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,131712
2025-05-15 13:12:42.684192,192.168.10.201,57133,17.248.195.74,443,6,583,20,32,1,131712
2025-05-15 13:12:42.728381,17.248.195.74,443,192.168.10.201,57133,6,66,20,32,1,32256
2025-05-15 13:12:42.730282,17.248.195.74,443,192.168.10.201,57133,6,1514,20,32,1,32256
2025-05-15 13:12:42.730283,17.248.195.74,443,192.168.10.201,57133,6,1514,20,32,1,32256
2025-05-15 13:12:42.730416,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,128832
2025-05-15 13:12:42.731908,17.248.195.74,443,192.168.10.201,57133,6,921,20,32,1,32256
2025-05-15 13:12:42.732244,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,130176
2025-05-15 13:12:42.746708,192.168.10.201,57133,17.248.195.74,443,6,159,20,32,1,131072
2025-05-15 13:12:42.790029,17.248.195.74,443,192.168.10.201,57133,6,117,20,32,1,32256
2025-05-15 13:12:42.790824,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,131008
2025-05-15 13:12:42.791405,192.168.10.201,57133,17.248.195.74,443,6,1370,20,32,1,131072
2025-05-15 13:12:42.791642,192.168.10.201,57133,17.248.195.74,443,6,298,20,32,1,131072
2025-05-15 13:12:42.834957,17.248.195.74,443,192.168.10.201,57133,6,66,20,32,1,32256
2025-05-15 13:12:42.875218,17.248.195.74,443,192.168.10.201,57133,6,945,20,32,1,32256
2025-05-15 13:12:42.875327,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,130176
2025-05-15 13:12:42.876111,192.168.10.201,57133,17.248.195.74,443,6,97,20,32,1,131072
2025-05-15 13:12:42.876296,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.920382,17.248.195.74,443,192.168.10.201,57133,6,66,20,32,1,32256
2025-05-15 13:12:42.920513,192.168.10.201,57133,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:42.922231,17.248.195.74,443,192.168.10.201,57133,6,66,20,32,1,32256
2025-05-15 13:12:45.548477,192.168.10.201,52716,18.161.135.59,443,6,152,20,32,1,2048
2025-05-15 13:12:45.548537,192.168.10.201,52716,18.161.135.59,443,6,105,20,32,1,2048
2025-05-15 13:12:45.548572,192.168.10.201,52716,18.161.135.59,443,6,1494,20,32,1,2048
2025-05-15 13:12:45.548574,192.168.10.201,52716,18.161.135.59,443,6,1494,20,32,1,2048
2025-05-15 13:12:45.548586,192.168.10.201,52716,18.161.135.59,443,6,1427,20,32,1,2048
2025-05-15 13:12:45.558827,192.168.10.201,52719,104.18.32.47,443,6,54,20,20,1,2048
2025-05-15 13:12:45.564862,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,234
2025-05-15 13:12:45.564863,18.161.135.59,443,192.168.10.201,52716,6,105,20,32,1,234
2025-05-15 13:12:45.564933,192.168.10.201,52716,18.161.135.59,443,6,66,20,32,1,2047
2025-05-15 13:12:45.565223,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,246
2025-05-15 13:12:45.571779,104.18.32.47,443,192.168.10.201,52719,6,66,20,32,1,10
2025-05-15 13:12:45.589518,192.168.10.201,52716,18.161.135.59,443,6,1427,20,32,1,2048
2025-05-15 13:12:45.590808,18.161.135.59,443,192.168.10.201,52716,6,1494,20,32,1,251
2025-05-15 13:12:45.590809,18.161.135.59,443,192.168.10.201,52716,6,376,20,32,1,251
2025-05-15 13:12:45.590810,18.161.135.59,443,192.168.10.201,52716,6,97,20,32,1,251
2025-05-15 13:12:45.590871,192.168.10.201,52716,18.161.135.59,443,6,66,20,32,1,2020
2025-05-15 13:12:45.591613,192.168.10.201,52716,18.161.135.59,443,6,101,20,32,1,2048
2025-05-15 13:12:45.602958,18.161.135.59,443,192.168.10.201,52716,6,78,20,44,1,251
2025-05-15 13:12:45.605243,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,251
2025-05-15 13:12:48.813950,192.168.10.201,52716,18.161.135.59,443,6,152,20,32,1,2048
2025-05-15 13:12:48.814056,192.168.10.201,52716,18.161.135.59,443,6,1494,20,32,1,2048
2025-05-15 13:12:48.814057,192.168.10.201,52716,18.161.135.59,443,6,1494,20,32,1,2048
2025-05-15 13:12:48.814059,192.168.10.201,52716,18.161.135.59,443,6,1494,20,32,1,2048
2025-05-15 13:12:48.814061,192.168.10.201,52716,18.161.135.59,443,6,688,20,32,1,2048
2025-05-15 13:12:48.834698,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,251
2025-05-15 13:12:48.834699,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,257
2025-05-15 13:12:48.836704,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,262
2025-05-15 13:12:48.836705,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,268
2025-05-15 13:12:48.836705,18.161.135.59,443,192.168.10.201,52716,6,66,20,32,1,274
2025-05-15 13:12:48.862128,18.161.135.59,443,192.168.10.201,52716,6,1494,20,32,1,274
2025-05-15 13:12:48.862129,18.161.135.59,443,192.168.10.201,52716,6,377,20,32,1,274
2025-05-15 13:12:48.862129,18.161.135.59,443,192.168.10.201,52716,6,97,20,32,1,274
2025-05-15 13:12:48.862181,192.168.10.201,52716,18.161.135.59,443,6,66,20,32,1,2020
2025-05-15 13:12:50.628126,40.99.245.50,443,192.168.10.201,52547,6,114,20,32,1,16381
2025-05-15 13:12:50.628232,192.168.10.201,52547,40.99.245.50,443,6,66,20,32,1,6911
2025-05-15 13:12:50.629946,192.168.10.201,52547,40.99.245.50,443,6,108,20,32,1,6912
2025-05-15 13:12:50.630110,192.168.10.201,52547,40.99.245.50,443,6,108,20,32,1,6912
2025-05-15 13:12:50.653315,40.99.245.50,443,192.168.10.201,52547,6,66,20,32,1,16381
2025-05-15 13:12:50.862160,192.168.10.201,52690,34.228.177.21,443,6,54,20,20,1,2048
2025-05-15 13:12:50.899216,34.228.177.21,443,192.168.10.201,52690,6,66,20,32,1,428
2025-05-15 13:12:51.449419,1.0.0.1,853,192.168.10.201,57123,6,90,20,32,1,10
2025-05-15 13:12:51.449764,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2047
2025-05-15 13:12:51.450193,192.168.10.201,57123,1.0.0.1,853,6,90,20,32,1,2048
2025-05-15 13:12:51.450801,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2048
2025-05-15 13:12:51.465479,1.0.0.1,853,192.168.10.201,57123,6,66,20,32,1,10
2025-05-15 13:12:51.465480,1.0.0.1,853,192.168.10.201,57123,6,66,20,32,1,10
2025-05-15 13:12:51.465657,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2048
2025-05-15 13:12:52.953136,192.168.10.201,52715,23.219.157.143,443,6,54,20,20,1,2048
2025-05-15 13:12:52.975520,23.219.157.143,443,192.168.10.201,52715,6,66,20,32,1,501
2025-05-15 13:12:53.146845,192.168.10.201,52713,45.60.63.78,443,6,231,20,32,1,2048
2025-05-15 13:12:53.146978,192.168.10.201,52713,45.60.63.78,443,6,105,20,32,1,2048
2025-05-15 13:12:53.172882,45.60.63.78,443,192.168.10.201,52713,6,66,20,32,1,501
2025-05-15 13:12:53.172883,45.60.63.78,443,192.168.10.201,52713,6,105,20,32,1,501
2025-05-15 13:12:53.172977,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2047
2025-05-15 13:12:53.189223,45.60.63.78,443,192.168.10.201,52713,6,1228,20,32,1,501
2025-05-15 13:12:53.189283,192.168.10.201,52713,45.60.63.78,443,6,1514,20,32,1,2048
