Fwd Packet Length Max,Fwd Packet Length Min,Min Packet Length,Max Packet Length,Average Packet Size,Fwd Packets/s,Fwd Header Length,Fwd Header Length.1,min_seg_size_forward,Total Length of Fwd Packets,Fwd Packet Length Std,Flow IAT Min,Subflow Fwd Bytes,Destination Port,Protocol,Packet Length Std,Flow Duration,Fwd IAT Total,ACK Flag Count,Init_Win_bytes_forward,Flow IAT Mean,Flow IAT Max,Fwd IAT Mean,Fwd IAT Max
558.0,66.0,66.0,558.0,267.6,0.49568112688493493,20.0,32.0,34.0,1338.0,237.2725015672908,1.1920928955078125e-06,1338.0,57123,6,237.2725015672908,10.087130069732666,10.087130069732666,5,10.0,2.5217825174331665,10.045542001724243,2.5217825174331665,10.045542001724243
1514.0,66.0,66.0,1514.0,643.0,0.42903285899827004,20.0,32.0,34.0,3215.0,680.6820109272758,9.5367431640625e-07,3215.0,52713,6,680.6820109272758,11.65411901473999,11.65411901473999,5,501.0,2.9135297536849976,11.654116153717041,2.9135297536849976,11.654116153717041
251.0,66.0,66.0,251.0,143.8,0.4277994753604342,20.0,32.0,34.0,719.0,80.8786745687638,0.0001327991485595703,719.0,443,6,80.8786745687638,11.687718868255615,11.687718868255615,5,2048.0,2.921929717063904,11.628034114837646,2.921929717063904,11.628034114837646
1514.0,66.0,66.0,1514.0,599.0,147.5184648499599,20.0,32.0,34.0,2995.0,636.8704734873489,0.0,2995.0,52713,6,636.8704734873489,0.03389406204223633,0.03389406204223633,5,501.0,0.008473515510559082,0.019902944564819336,0.008473515510559082,0.019902944564819336
1514.0,66.0,66.0,1514.0,449.0,147.54441137775527,20.0,32.0,34.0,2245.0,556.9754034066495,1.71661376953125e-05,2245.0,443,6,556.9754034066495,0.03388810157775879,0.03388810157775879,5,2048.0,0.008472025394439697,0.03329110145568848,0.008472025394439697,0.03329110145568848
1514.0,66.0,66.0,1514.0,453.2,61.59072887359103,20.0,36.8,34.0,2266.0,559.0471894214298,5.793571472167969e-05,2266.0,443,6,559.0471894214298,0.08118104934692383,0.08118104934692383,4,65535.0,0.020295262336730957,0.04072999954223633,0.020295262336730957,0.04072999954223633
1514.0,66.0,66.0,1514.0,637.4,114.25445788908804,20.0,33.6,34.0,3187.0,696.7179056117333,0.0,3187.0,52727,6,696.7179056117333,0.0437619686126709,0.0437619686126709,5,26847.0,0.010940492153167725,0.039880990982055664,0.010940492153167725,0.039880990982055664
432.0,66.0,66.0,432.0,184.2,2852.4918389553864,20.0,32.0,34.0,921.0,133.9976119190189,6.079673767089844e-05,921.0,443,6,133.9976119190189,0.0017528533935546875,0.0017528533935546875,5,127424.0,0.0004382133483886719,0.0014071464538574219,0.0004382133483886719,0.0014071464538574219
1514.0,66.0,66.0,1514.0,412.0,111.79384938509843,20.0,32.0,34.0,2060.0,556.0258986773907,0.0,2060.0,52727,6,556.0258986773907,0.04472517967224121,0.04472517967224121,5,32768.0,0.011181294918060303,0.0447239875793457,0.011181294918060303,0.0447239875793457
238.0,66.0,66.0,238.0,141.2,0.3335620647207289,20.0,32.0,34.0,706.0,77.53038114184658,4.7206878662109375e-05,706.0,443,6,77.53038114184658,14.9897141456604,14.9897141456604,5,2048.0,3.7474285364151,14.932232856750488,3.7474285364151,14.932232856750488
1227.0,66.0,66.0,1227.0,456.2,0.3338185262889539,20.0,32.0,34.0,2281.0,480.0339154684802,9.5367431640625e-07,2281.0,52713,6,480.0339154684802,14.978198051452637,14.978198051452637,5,501.0,3.744549512863159,14.956011056900024,3.744549512863159,14.956011056900024
1514.0,66.0,66.0,1514.0,449.0,138.59236838974874,20.0,32.0,34.0,2245.0,556.9754034066495,3.814697265625e-05,2245.0,443,6,556.9754034066495,0.036077022552490234,0.036077022552490234,5,2048.0,0.009019255638122559,0.02644801139831543,0.009019255638122559,0.02644801139831543
108.0,66.0,66.0,108.0,91.2,0.24906744245611107,20.0,32.0,34.0,456.0,20.575713839378697,0.000164031982421875,456.0,443,6,20.575713839378697,20.074883937835693,20.074883937835693,5,6911.0,5.018720984458923,20.071202993392944,5.018720984458923,20.071202993392944
1514.0,66.0,66.0,1514.0,479.4,96.57530209254347,20.0,34.4,34.0,2397.0,567.5912613844579,4.00543212890625e-05,2397.0,443,6,567.5912613844579,0.0517730712890625,0.0517730712890625,4,65535.0,0.012943267822265625,0.02639293670654297,0.012943267822265625,0.02639293670654297
1514.0,117.0,117.0,1514.0,964.8,6031.498418176589,20.0,32.0,85.0,4824.0,672.8011296066618,1.9073486328125e-06,4824.0,443,6,672.8011296066618,0.0008289813995361328,0.0008289813995361328,5,131584.0,0.0002072453498840332,0.00044798851013183594,0.0002072453498840332,0.00044798851013183594
216.0,66.0,66.0,216.0,111.4,91.76863901700463,20.0,33.6,34.0,557.0,58.34243738480592,1.9073486328125e-06,557.0,52728,6,58.34243738480592,0.05448484420776367,0.05448484420776367,5,65535.0,0.013621211051940918,0.027430057525634766,0.013621211051940918,0.027430057525634766
1494.0,66.0,66.0,1494.0,436.0,58.847767342277244,20.0,34.4,34.0,2180.0,551.89274320288,4.00543212890625e-05,2180.0,443,6,551.89274320288,0.08496499061584473,0.08496499061584473,4,65535.0,0.02124124765396118,0.04279899597167969,0.02124124765396118,0.04279899597167969
995.0,66.0,66.0,995.0,267.0,68.26222251155524,20.0,32.0,34.0,1335.0,364.3964873595792,0.0002970695495605469,1335.0,443,6,364.3964873595792,0.07324695587158203,0.07324695587158203,5,131584.0,0.018311738967895508,0.047204017639160156,0.018311738967895508,0.047204017639160156
1514.0,66.0,66.0,1514.0,666.6,49.635676399792665,20.0,33.6,34.0,3333.0,692.7728632098691,1.1920928955078125e-06,3333.0,52729,6,692.7728632098691,0.10073399543762207,0.10073399543762207,5,65535.0,0.025183498859405518,0.056929826736450195,0.025183498859405518,0.056929826736450195
750.0,66.0,66.0,750.0,236.0,80.22708318987613,20.0,32.0,34.0,1180.0,259.729089629945,0.00014495849609375,1180.0,443,6,259.729089629945,0.06232309341430664,0.06232309341430664,5,131264.0,0.01558077335357666,0.0550379753112793,0.01558077335357666,0.0550379753112793
1494.0,735.0,735.0,1494.0,1210.6,40960.0,20.0,32.0,703.0,6053.0,348.5590911165566,1.9073486328125e-06,6053.0,443,6,348.5590911165566,0.0001220703125,0.0001220703125,5,131072.0,3.0517578125e-05,9.512901306152344e-05,3.0517578125e-05,9.512901306152344e-05
1514.0,66.0,66.0,1514.0,655.2,47.63309953846713,20.0,34.4,34.0,3276.0,701.3148793516361,1.9073486328125e-06,3276.0,52728,6,701.3148793516361,0.10496902465820312,0.10496902465820312,5,4194816.0,0.02624225616455078,0.07005500793457031,0.02624225616455078,0.07005500793457031
1514.0,66.0,66.0,1514.0,768.8,104.77378097521982,20.0,32.0,34.0,3844.0,648.9518934404922,9.5367431640625e-07,3844.0,52729,6,648.9518934404922,0.04772186279296875,0.04772186279296875,5,4194048.0,0.011930465698242188,0.04771780967712402,0.011930465698242188,0.04771780967712402
336.0,66.0,66.0,336.0,159.2,76.44075086568252,20.0,32.0,34.0,796.0,94.74470961483813,0.008776187896728516,796.0,52729,6,94.74470961483813,0.06541013717651367,0.06541013717651367,5,4194816.0,0.016352534294128418,0.028800010681152344,0.016352534294128418,0.028800010681152344
97.0,66.0,66.0,97.0,72.2,88.25802976230557,20.0,32.0,34.0,361.0,12.4,0.00010609626770019531,361.0,443,6,12.4,0.056652069091796875,0.056652069091796875,5,130944.0,0.014163017272949219,0.028699874877929688,0.014163017272949219,0.028699874877929688
66.0,54.0,54.0,66.0,58.8,0.3317842541701483,20.0,24.8,34.0,294.0,5.878775382679627,6.29425048828125e-05,294.0,443,6,5.878775382679627,15.07003402709961,15.07003402709961,3,2048.0,3.7675085067749023,15.03080701828003,3.7675085067749023,15.03080701828003
1514.0,66.0,66.0,1514.0,515.6,0.332227940958645,20.0,32.0,34.0,2578.0,574.9972521673473,9.5367431640625e-07,2578.0,52713,6,574.9972521673473,15.04990816116333,15.04990816116333,5,501.0,3.7624770402908325,14.959782123565674,3.7624770402908325,14.959782123565674
238.0,66.0,66.0,238.0,141.2,0.33330877802870806,20.0,32.0,34.0,706.0,77.53038114184658,8.416175842285156e-05,706.0,443,6,77.53038114184658,15.001105070114136,15.001105070114136,5,2048.0,3.750276267528534,14.93846082687378,3.750276267528534,14.93846082687378
1514.0,66.0,66.0,1514.0,449.0,139.48095827181186,20.0,32.0,34.0,2245.0,556.9754034066495,5.316734313964844e-05,2245.0,443,6,556.9754034066495,0.03584718704223633,0.03584718704223633,5,2048.0,0.008961796760559082,0.033035993576049805,0.008961796760559082,0.033035993576049805
1514.0,66.0,66.0,1514.0,739.8,45.267386316296154,20.0,32.0,34.0,3699.0,589.690562922623,1.1920928955078125e-06,3699.0,52713,6,589.690562922623,0.11045479774475098,0.11045479774475098,5,501.0,0.027613699436187744,0.0764467716217041,0.027613699436187744,0.0764467716217041
114.0,66.0,66.0,114.0,94.8,0.12504677659662025,20.0,32.0,34.0,474.0,23.51510153071851,0.024245023727416992,474.0,52547,6,23.51510153071851,39.985037088394165,39.985037088394165,5,16381.0,9.996259272098541,20.04787802696228,9.996259272098541,20.04787802696228
238.0,66.0,66.0,238.0,141.2,0.33311877824255715,20.0,32.0,34.0,706.0,77.53038114184658,0.00010395050048828125,706.0,443,6,77.53038114184658,15.009661197662354,15.009661197662354,5,2048.0,3.7524152994155884,14.945606231689453,3.7524152994155884,14.945606231689453
1514.0,66.0,66.0,1514.0,615.2,76.98485009783012,20.0,32.0,34.0,3076.0,659.5760456535698,9.5367431640625e-07,3076.0,52713,6,659.5760456535698,0.06494784355163574,0.06494784355163574,5,501.0,0.016236960887908936,0.025369882583618164,0.016236960887908936,0.025369882583618164
1514.0,66.0,66.0,1514.0,449.0,103.68492351504484,20.0,32.0,34.0,2245.0,556.9754034066495,3.886222839355469e-05,2245.0,443,6,556.9754034066495,0.048223018646240234,0.048223018646240234,5,2028.0,0.012055754661560059,0.03967905044555664,0.012055754661560059,0.03967905044555664
1292.0,54.0,54.0,1292.0,316.4,0.11081856964785763,20.0,29.6,34.0,1582.0,488.0908112226658,0.0002110004425048828,1582.0,443,6,488.0908112226658,45.11879205703735,45.11879205703735,5,131072.0,11.279698014259338,45.04218006134033,11.279698014259338,45.04218006134033
1514.0,66.0,66.0,1514.0,646.8,58.897017729610106,20.0,33.6,34.0,3234.0,708.071860759909,0.0,3234.0,52730,6,708.071860759909,0.08489394187927246,0.08489394187927246,5,26847.0,0.021223485469818115,0.08489203453063965,0.021223485469818115,0.08489203453063965
1514.0,66.0,66.0,1514.0,451.4,35.239559545834155,20.0,34.4,34.0,2257.0,560.7621955873987,3.1948089599609375e-05,2257.0,443,6,560.7621955873987,0.14188599586486816,0.14188599586486816,4,65535.0,0.03547149896621704,0.0840921401977539,0.03547149896621704,0.0840921401977539
1514.0,130.0,130.0,1514.0,630.0,14533.277893277893,20.0,32.0,98.0,3150.0,504.10197381085504,8.106231689453125e-06,3150.0,443,6,504.10197381085504,0.0003440380096435547,0.0003440380096435547,5,131072.0,8.600950241088867e-05,0.00017905235290527344,8.600950241088867e-05,0.00017905235290527344
